Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
2/22/2019 14:00,2/22/2019 14:15,Staten Island,Lemon Creek Park,"Bayside of park, near pier.",Seal,Central,Native,No data,0.5,Adult,Other,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
3/26/2019 15:45,3/26/2019 15:50,Queens,Dubos Point Wildlife Sanctuary,"Near entrance of park, Bay 65th St and Bayfield Ave",Dolphin,Central,Native,No data,2.25,Adult,Other,1-1-1697120443,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
5/5/2019 9:05,5/5/2019 9:08,Bronx,Van Cortlandt Park,"Van Cortlandt Lake Storm Drain    40.889697, -73.893512",Turtle/ Unspecified species,Central,No data,No data,0.5,Adult,Other,1-1-1-716461740,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
7/20/2018 17:51,7/21/2018 15:45,Queens,Alley Pond Park,,Red-Eared Slider,Central,Domestic,No data,0.5,Adult,Other,1.12E+11,Unfounded,,FALSE,FALSE,,,FALSE,FALSE,
2/6/2019 14:00,2/6/2019 14:30,Brooklyn,Prospect Park,Long Meadow,Falcon,Central,Native,No data,2,Adult,Raptors,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
12/1/2018 10:40,12/1/2018 10:50,Brooklyn,Prospect Park,Audubon center,No data,Other,Native,No data,1.25,Adult,Raptors,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
11/11/2018 17:30,11/12/2018 8:30,Brooklyn,Marine Park,Near flagpole by Carro Center,Hawk,Central,Native,No data,1.5,Adult,Raptors,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
3/18/2019 9:30,3/18/2019 9:30,Manhattan,Central Park,"The Block House, West Drive",No data,"Conservancies/""Friends of"" Groups",Native,No data,1,Adult,Raptors,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
8/26/2018 9:00,8/26/2018 9:00,Manhattan,Colonel Charles Young Playground,W 144th & Malcom X Blvd.,Red-Tailed Hawk,Central,Native,No data,1,Adult,Raptors,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
11/3/2018 10:00,11/3/2018 11:00,Bronx,Seton Falls Park,Trash Can,Opossum,Central,Native,No data,1,Adult,Small Mammals-non RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
9/26/2018 15:00,9/26/2018 16:00,Brooklyn,Shore Park and Parkway,North end near Owl's Head Park,Opossum,Employee,Native,No data,1,Adult,Small Mammals-non RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
4/2/2019 10:00,4/2/2019 11:00,Manhattan,Central Park,Near Billie Johnson Playground,Opossum,"Conservancies/""Friends of"" Groups",Native,No data,0.5,Adult,Small Mammals-non RVS,No data,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
3/15/2019 15:00,3/15/2019 16:00,Manhattan,Central Park,West 77th CPW,Squirrel,Central,Native,No data,1,Adult,Small Mammals-non RVS,1-1-1695193592,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
2/21/2019 17:10,2/21/2019 17:15,Manhattan,Central Park,West Drive at West 78th St,Raccoon,Employee,Native,No data,0.5,Adult,Small Mammals-non RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
11/8/2018 15:10,11/8/2018 15:46,Manhattan,Central Park,Central Park Zoo - across from snow  monkeys - on the benches,squirrel,Other,Native,No data,0.5,Adult,Small Mammals-non RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
8/8/2018 13:30,8/8/2018 16:00,Manhattan,Central Park,West 72nd on the Bridal Path,Raccoon,"Conservancies/""Friends of"" Groups",Native,No data,1,Adult,Small Mammals-non RVS,No data,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
1/30/2019 11:30,1/30/2019 15:30,Queens,Flushing Fields,"149th Street and 26th Ave, in the ball field",Opossum,Employee,Native,No data,1.5,Adult,Small Mammals-non RVS,1-1-1676851197,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
12/27/2018 8:45,12/27/2018 9:00,Queens,Juniper Valley Park,Juniper Blvd North and 77th St,Squirrel,Central,Native,No data,1,Adult,Small Mammals-non RVS,1-1-1662427562,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
4/15/2019 12:00,4/15/2019 13:00,Bronx,Pugsley Creek Park,Within the park,Raccoon,Other,Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,2,FALSE,FALSE,,,FALSE,FALSE,
3/18/2019 15:20,3/18/2019 15:40,Bronx,Orchard Beach,North/East Corner of Parking Lot,Skunk,Employee,Native,No data,1,Adult,Small Mammals-RVS,1-1-1680409930,Unfounded,6,FALSE,FALSE,,,FALSE,FALSE,
2/23/2019 9:30,2/23/2019 10:00,Bronx,Matthews Muliner Playground,"Matthews Ave., between Morris Park Ave. and Rhinelander Ave.",Raccoon,Central,Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,2,FALSE,FALSE,,,FALSE,FALSE,
10/29/2018 11:00,10/30/2018 12:00,Bronx,Matthews Muliner Playground,Unfounded,Raccoon,Employee,Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
7/8/2018 22:17,7/8/2018 12:00,Bronx,Van Cortlandt Park,,Skunk,Employee,Native,No data,0.25,Adult,Small Mammals-RVS,1-11-586588522,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
4/30/2019 17:00,4/30/2019 17:30,Brooklyn,Prospect Park,Between Bandshell and Harmony Playground,Raccoon,Employee,Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
4/11/2019 16:30,4/11/2019 17:00,Brooklyn,Coney Island Beach &amp; Boardwalk,Between 20th & 21st  near Ford Ampitheater,Raccoon,Central,Native,No data,1,Adult,Small Mammals-RVS,1-1-1706118880,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
3/16/2019 13:30,3/16/2019 13:53,Brooklyn,Shore Park and Parkway,"40.611201, -74.036748",Raccoon,Public,Native,No data,1.5,Adult,Small Mammals-RVS,1-1-1695498528,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
2/18/2019 8:45,2/18/2019 9:00,Brooklyn,Marine Park,Ladder 2 on the Salt Marsh Nature Trail,Raccoon,Public,Native,No data,1,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
1/29/2019 9:30,1/29/2019 9:50,Brooklyn,Dyker Beach Park,"Dyker Beach Playground, Cropsey Avenue between Bay 7th St and Bay 8th St",Skunk,Central,Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
1/12/2019 12:00,1/12/2019 13:00,Brooklyn,Prospect Park,Parade Grounds,Raccoon,Central,Native,No data,1,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
12/17/2018 9:00,12/17/2018 9:30,Brooklyn,Prospect Park,Terrace Bridge,Raccoon,Employee,Native,No data,1.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
12/3/2018 10:00,12/2/2018 10:45,Brooklyn,Prospect Park,On Drive in front of Imagination Playground,Raccoon,Other,Native,No data,1,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
11/21/2018 16:00,11/21/2018 16:30,Brooklyn,Prospect Park,Parade Grounds by Tennis Center,Raccoon,Employee,Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
11/23/2018 12:45,11/23/2018 12:55,Brooklyn,Prospect Park,Wellhouse Drive by Bathrooms,Raccoon,Central,Native,No data,1,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,0.5,FALSE,FALSE,
11/3/2018 13:30,11/3/2018 13:40,Brooklyn,Prospect Park,Grand Army Plaza,Raccoon,Central,Native,No data,0.1,Adult,Small Mammals-RVS,1-1-1636032520,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
10/19/2018 9:10,10/19/2018 9:22,Brooklyn,Prospect Park,Inside a dumpster north of Prospect Park Picnic House,Raccoon,Central,Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
10/5/2018 0:00,10/16/2018 10:00,Brooklyn,Prospect Park,Grand Army Plaza,Raccoon,Public,Native,No data,0.5,Adult,Small Mammals-RVS,No data,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
10/12/2018 17:30,10/12/2018 17:30,Brooklyn,Prospect Park,Center Drive and East Drive junction,Raccoon,Public,Native,No data,0.5,Adult,Small Mammals-RVS,No data,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
9/21/2018 9:00,9/21/2018 10:30,Brooklyn,Bedford Playground,,No data,Public,Native,No data,1,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
7/12/2018 11:15,7/12/2018 11:30,Brooklyn,Prospect Park,,Raccoon,Employee,Native,No data,1,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
5/10/2019 16:30,5/11/2019 0:00,Brooklyn,Bartel-Pritchard Square,"40.663032, -73.977845",Raccoon,Employee,Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
5/11/2019 13:00,5/11/2019 15:30,Manhattan,Central Park,Harlem Meer,Raccoon,"Conservancies/""Friends of"" Groups",Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
5/8/2019 14:00,5/8/2019 15:00,Manhattan,Fort Tryon Park,"40.860220, -73.934497 Billings Lawn",Raccoon,Employee,Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
5/1/2019 16:30,5/1/2019 17:00,Manhattan,Central Park,"40.796889, -73.954878 On Central Park East Drive across from Lasker Rink",Raccoon,Public,Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
4/12/2019 17:00,4/12/2019 17:45,Manhattan,Inwood Hill Park,The wall near Seaman Ave entrance,Skunk,Employee,Native,No data,2,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
3/19/2019 11:00,3/19/2019 11:30,Manhattan,Central Park,"North Meadow Ballfield 3 40.791966, -73.961353",Raccoon,Central,Native,No data,0.5,Adult,Small Mammals-RVS,1-1-1696398502,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
3/14/2019 10:00,3/15/2019 0:00,Manhattan,Central Park,North Meadow near Ballfield 3,Raccoon,Public,Native,No data,1,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
3/12/2019 10:00,3/12/2019 12:00,Manhattan,Central Park,North Meadow,Raccoon,"Conservancies/""Friends of"" Groups",Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
2/21/2019 16:40,2/21/2019 16:50,Manhattan,Central Park,West of Conservantory Gardens near ballfields,Raccoon,Employee,Native,No data,0.3,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
2/3/2019 9:00,2/3/2019 9:15,Manhattan,Riverside Park,"Hippo Playground     40°47'35.1""N 73°58'40.7""W",Squirrel,Public,Native,No data,1,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
1/24/2019 14:00,1/24/2019 14:10,Manhattan,Randall's Island Park,Between Sunken Meadow and Hell's Gate; 13 Hell Gate Circle,Raccoon,Central,Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
11/21/2018 9:30,11/21/2018 10:30,Manhattan,Central Park,"near 100th St Pool, closer to 104th street, on rock outcrop",bat,Central,Native,No data,1,Adult,Small Mammals-RVS,1-1-1647717122,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
11/13/2018 15:45,11/13/2018 15:45,Manhattan,Mercer Playground,Mercer st & Bleeker st,Bat,Central,Native,No data,2,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
11/10/2018 11:31,11/10/2018 11:41,Manhattan,Inwood Hill Park,"top of the Clove trail, near Whaleback rock",Raccoon,Central,Native,No data,1,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
10/30/2018 12:00,10/30/2018 13:00,Manhattan,Riverside Park,Hippo Playground,Raccoon,Central,Native,No data,1,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
9/26/2018 15:45,9/26/2018 16:00,Manhattan,Central Park,Near Lasker Pool,Raccoon,Public,Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
9/9/2018 10:10,9/9/2018 10:10,Manhattan,Playground 103 CIII,Ward's Island Bridge,Raccoon,Public,Native,No data,2,Adult,Small Mammals-RVS,1-1-1615129722,Unfounded,1,FALSE,FALSE,,0.5,FALSE,FALSE,
9/7/2018 16:01,9/7/2018 16:10,Manhattan,Central Park,96th street playground,raccoon,Central,Native,No data,0.75,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
8/31/2018 14:15,8/31/2018 15:15,Manhattan,Central Park,Bridle Path and W. 77th St,Raccoon,"Conservancies/""Friends of"" Groups",Native,No data,1,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
8/29/2018 15:45,8/29/2018 15:49,Manhattan,Central Park,59th St & 5th ave,raccoon,Central,Native,No data,1.25,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
8/28/2018 10:55,8/28/2018 11:23,Manhattan,Central Park,67th & 5th ave - Balto statue,raccoon,Employee,Native,No data,1.25,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
8/24/2018 16:55,8/24/2018 17:00,Manhattan,Central Park,"Delacorte Theater, underneath the stage",Raccoon,Other,Native,No data,0.75,Adult,Small Mammals-RVS,,Unfounded,2,FALSE,FALSE,,,FALSE,FALSE,
8/23/2018 12:40,8/23/2018 12:40,Manhattan,Central Park,Lasker Rink,Raccoon,"Conservancies/""Friends of"" Groups",Native,No data,1,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
8/20/2018 15:00,8/20/2018 15:15,Manhattan,Central Park,"W 77th st., Balcony bridge",Raccoon,"Conservancies/""Friends of"" Groups",Native,No data,1,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
8/16/2018 11:00,8/16/2018 11:00,Manhattan,Central Park,Loeb Boathouse. Cross Street West 72nd and 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,No data,0.5,Adult,Small Mammals-RVS,No data,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
8/14/2018 15:00,8/14/2018 15:06,Manhattan,Central Park,Ramble - south of Castle - stairs,Raccoon,"Conservancies/""Friends of"" Groups",Native,No data,1,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
8/14/2018 8:30,8/14/2018 10:28,Manhattan,Central Park,92/93st by Reservoir near Engineer's Gate.,Raccoon,"Conservancies/""Friends of"" Groups",Native,No data,1,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
8/14/2018 13:51,8/14/2018 13:51,Manhattan,Central Park,Loeb Boathouse,Raccoon,Employee,Native,No data,0.75,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
8/13/2018 16:20,8/13/2018 16:50,Manhattan,Central Park,"Near lamp post 7230, near boat house/ drive",Raccoon,"Conservancies/""Friends of"" Groups",Native,No data,1.5,Adult,Small Mammals-RVS,1-1-1602644202,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
8/13/2018 12:00,8/13/2018 12:15,Manhattan,Central Park,"W 96th & West Drive, Tennis Center",Raccoon,"Conservancies/""Friends of"" Groups",Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
8/11/2018 15:47,8/11/2018 15:54,Manhattan,Central Park,between Delacorte Theater and Shakespeare's Garden,raccoon,"Conservancies/""Friends of"" Groups",Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
8/11/2018 7:00,8/11/2018 10:00,Manhattan,Central Park,"E. 84th and E. Drive, by a lamp post",Raccoon,"Conservancies/""Friends of"" Groups",Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
8/9/2018 20:00,8/10/2018 9:00,Manhattan,Central Park,East 106th and 5th Ave near Conservatory Garden,Raccoon,"Conservancies/""Friends of"" Groups",Native,No data,0.5,Adult,Small Mammals-RVS,No data,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
8/9/2018 16:30,8/9/2018 16:45,Manhattan,Central Park,The Loeb Boathouse E 72nd St and 5th Ave,Raccoon,Other,Native,No data,1,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
8/9/2018 11:50,8/9/2018 11:55,Manhattan,Central Park,E96th Bridal Path heading north by the reservior,Raccoon,"Conservancies/""Friends of"" Groups",Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
8/9/2018 8:30,8/9/2018 9:50,Manhattan,Central Park,Outside the Loeb Boathouse Bathrooms,Raccoon,"Conservancies/""Friends of"" Groups",Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
8/8/2018 15:30,8/8/2018 15:40,Manhattan,Central Park,Delacorte Theater. Nearest cross street is West 81st and central Park West,Raccoon,"Conservancies/""Friends of"" Groups",Native,No data,1,Adult,Small Mammals-RVS,No data,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
8/2/2018 11:00,8/2/2018 11:05,Manhattan,Central Park,Entrance of 90th/5th ave bridal path,Raccoon,"Conservancies/""Friends of"" Groups",Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
8/1/2018 20:00,8/2/2018 9:50,Manhattan,Central Park,Playground at E96th and 5th ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,No data,0.5,Adult,Small Mammals-RVS,1-1-1598586559,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
7/31/2018 10:30,7/31/2018 11:20,Manhattan,Central Park,E65th between the dairy center and the east drive,raccoon,"Conservancies/""Friends of"" Groups",Native,No data,4,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
7/29/2018 13:00,7/29/2018 15:00,Manhattan,Central Park,"Rumsey Playfield, Summer Stage, around trailers",Raccoon,"Conservancies/""Friends of"" Groups",Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
7/28/2018 8:30,7/28/2018 10:30,Manhattan,Central Park,"West Drive and 74th street, between the Drive and the Lake, behind a bench in the vegetation",raccoon,"Conservancies/""Friends of"" Groups",Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
7/28/2018 8:30,7/28/2018 9:54,Manhattan,Central Park,"In Ramble, near Ramble Shed trash cans close to Maintenance area",raccoon,"Conservancies/""Friends of"" Groups",Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
7/28/2018 8:30,7/28/2018 9:22,Manhattan,Central Park,"on Bridle Path at 86th street transverse entrance, aka ""Cowgate""",raccoon,"Conservancies/""Friends of"" Groups",Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
7/26/2018 12:45,7/26/2018 13:35,Manhattan,Central Park,Compost Hill 103rd/East Drive,raccoon,Central,Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
7/26/2018 8:15,7/26/2018 9:00,Manhattan,Central Park,Ramble,raccoon,"Conservancies/""Friends of"" Groups",Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
7/18/2018 11:15,7/18/2018 11:20,Manhattan,Central Park,Hecksher Ballfields - field #6 - west of Ballfields Cafe - between path and transverse,raccoon,"Conservancies/""Friends of"" Groups",Native,No data,0.75,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
7/24/2018 17:15,7/24/2018 17:35,Manhattan,Central Park,Behind the Lasker Pool near Huddlestone Arch,Raccoon,Employee,Native,No data,0.25,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
7/24/2018 12:30,7/24/2018 15:15,Manhattan,Central Park,Waterfall behind Lasker Pool in the North Woods.,Raccoon,Public,Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
7/14/2018 11:30,7/14/2018 12:10,Manhattan,Central Park,Children's Playground close to 59th St,Raccoon,Public,Native,No data,1,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
7/5/2018 13:00,7/5/2018 13:18,Manhattan,Central Park,Lasker Rink,raccoon,"Conservancies/""Friends of"" Groups",Native,No data,0.75,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
9/28/2018 9:00,9/28/2018 10:06,Manhattan,Sutton Place Park,by 57st. and waterfront,No data,Public,No data,No data,0.75,Adult,Small Mammals-RVS,1-1-1623805602,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
9/16/2018 7:00,9/16/2018 9:30,Manhattan,Central Park,Arthur Ross Playground,raccoon,Central,No data,No data,0.75,Adult,Small Mammals-RVS,1-1-1618251606,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
6/7/2019 16:30,6/7/2019 17:10,Queens,Harvey Park,144th Street and 20th Avenue,Raccoon,Central,Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
4/17/2019 11:30,4/17/2019 11:45,Queens,Kissena Park,Underhill Ave and 164th St,Raccoon,Employee,Native,No data,1.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
3/25/2019 13:40,3/25/2019 13:53,Queens,Forest Park,"Near railroad tracks, entrance by Joseph E. Devoy Playground",Raccoon,Public,Native,No data,0.75,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
3/21/2019 9:00,3/21/2019 14:45,Queens,Forest Park,"Union/Myrtle, and Myrtle/Park Ln S",Raccoon,Public,Native,No data,0.75,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
3/18/2019 16:45,3/18/2019 16:55,Queens,Flushing Meadows Corona Park,Olmsted Center,Raccoon,Central,Native,No data,0.25,Adult,Small Mammals-RVS,1-1-1694268370,Unfounded,1,TRUE,FALSE,,,FALSE,FALSE,
3/11/2019 15:00,3/11/2019 15:08,Queens,Flushing Meadows Corona Park,Olmstead Center behind,Raccoon,Employee,Native,No data,1.5,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
1/26/2019 10:00,1/29/2019 15:35,Queens,Forest Park,Close to 91st Street and Park Lane South,Raccoon,Public,Native,No data,0.25,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
12/29/2018 13:15,12/29/2018 13:20,Queens,Juniper Valley Park,Upper parkhouse near Dry Harbor Rd and 63rd Ave,Raccoon,Central,Native,No data,1.25,Adult,Small Mammals-RVS,1-1-1663249572,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
12/20/2018 15:30,12/20/2018 15:35,Queens,Cunningham Park,"73rd Ave and Francis Lewis Blvd, SE corner",Raccoon,Central,Native,No data,2.5,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
12/5/2018 10:15,12/5/2018 10:30,Queens,Alley Pond Park,Near the entrance to the red trail,Raccoon,Employee,Native,No data,2.5,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
11/3/2018 15:32,11/3/2018 15:38,Queens,Crocheron Park,Golden Pond foot trails near residences,Raccoon,Public,Native,No data,1,Adult,Small Mammals-RVS,1-1-1639903402,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
10/19/2018 12:00,10/19/2018 12:15,Queens,Playground Eighty LXXX,Within playground according to public,Raccoon,Public,Native,No data,0.5,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
7/16/2018 14:40,7/16/2018 14:50,Queens,Alley Pond Park Tennis Courts Near Court 16,,Raccoon,Central,Native,No data,2,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
9/23/2018 12:45,9/23/2018 12:50,Queens,Southern Stables,Behind the barn,Raccoon,Central,Native,No data,2,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
9/17/2018 9:15,9/17/2018 9:30,Queens,PS 153,Back playground perimeter near a garbage can.,Skunk,Central,Native,No data,1,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
8/8/2018 13:33,8/8/2018 13:38,Staten Island,Ocean Breeze Track & Field Athletic Complex,Garage of Rec Center,Raccoon,Employee,Native,No data,1,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
3/15/2019 16:45,3/16/2019 9:45,Brooklyn,Prospect Park,Greenwood Ave Entrance,Frog,Central,No data,No data,1,Adult,Terrestrial Reptile or Amphibian,1-1-1695206198,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
11/25/2018 12:30,11/25/2018 13:00,Brooklyn,Prospect Park,Prospect Park Lullwater,Turtle,Central,No data,No data,1.5,Adult,Terrestrial Reptile or Amphibian,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
3/29/2019 21:30,3/30/2019 10:00,Manhattan,Morningside Park,113th near steps,Boa Constrictor Snake,Public,Exotic,No data,1,Adult,Terrestrial Reptile or Amphibian,1-1-1701039707,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
5/31/2019 13:00,5/31/2019 13:15,Manhattan,Central Park,79st/Transverse,Snapping Turtle,"Conservancies/""Friends of"" Groups",Native,No data,1,Adult,Terrestrial Reptile or Amphibian,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
5/31/2019 0:00,5/31/2019 13:00,Manhattan,Frederick Douglass Playground,Playground and field,Snake,Central,No data,No data,1,Adult,Terrestrial Reptile or Amphibian,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
