fund_name,fund_extended_name,category,fund_family,net_assets,ytd_return,fund_yield,morningstar_rating,inception_date,investment,size,currency,net_annual_expense_ratio_fund,net_annual_expense_ratio_category,portfolio_cash,portfolio_stocks,portfolio_bonds,portfolio_others,portfolio_preferred,portfolio_convertable,price_earnings,price_book,price_sales,price_cashflow,median_market_cap,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology
FNMFX,Franklin NextStep Moderate Fund Class C,Allocation - 50% to 70% Equity,Franklin Templeton Investments,12960000,8.28,1.13,2,2/4/2016,Blend,Large,USD,1.84,0.82,5.93,55.9,36.81,0.78,0.06,0.27,15.23,2.26,1.52,7.61,"56,524.23",4.76,12.27,16.35,1.89,7.6,12.71,2.74,3.57,4.54,13.1,20.46
FNMIX,Fidelity New Markets Income Fund,Emerging Markets Bond,Fidelity Investments,9260000000,6.8,4.82,4,5/3/1993,,,USD,0.84,1.08,5.63,1.57,92.8,0,0,0,0,0,0,0,"298,095.53",1.1,76.2,7.95,0.1,0.72,0.05,0.38,0.16,12.95,0.32,0.06
FNMRX,Nuveen New Mexico Municipal Bond Fund Class I,Muni Single State Long,Nuveen,74570000,2.18,3.18,4,2/23/1997,Blend,Medium,USD,0.68,0.94,4.42,0,94.71,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FNMTX,Nuveen New Mexico Municipal Bond Fund Class A,Muni Single State Long,Nuveen,74570000,2.03,2.97,3,9/15/1992,Blend,Medium,USD,0.88,0.94,4.42,0,94.71,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FNMZX,Franklin NextStep Moderate Fund Advisor Class,Allocation - 50% to 70% Equity,Franklin Templeton Investments,12960000,8.51,2.3,2,6/14/2016,Blend,Large,USD,0.84,0.82,5.93,55.9,36.81,0.78,0.06,0.27,15.23,2.26,1.52,7.61,"56,524.23",4.76,12.27,16.35,1.89,7.6,12.71,2.74,3.57,4.54,13.1,20.46
FNORX,Fidelity Nordic Fund,Miscellaneous Region,Fidelity Investments,269580000,4.64,0.11,3,10/31/1995,Growth,Medium,USD,0.98,1.62,0.14,98.02,0,1.84,0,0,14.71,1.92,1.33,12.41,"7,237.32",6.18,13.62,14.63,0,12.24,15.36,3.57,0,3.67,16.95,13.78
FNPFX,American Funds New Perspective Fund Class F-3,World Large Stock,American Funds,85710000000,14,1.28,4,1/26/2017,Growth,Large,USD,0.45,1.11,6.06,93.9,0,0,0,0.04,19.19,2.93,2.37,8.81,"71,440.09",5.86,15.65,15.03,0.47,8.18,12.31,1.27,2.23,4.5,8.77,25.74
FNPIX,ProFunds Financials UltraSector Fund Investor Class,Trading - Leveraged Equity,ProFunds,7600000,16.83,0,1,6/18/2000,Blend,Large,USD,1.66,1.99,23.98,74.76,0,1.26,0,0,14.09,1.59,2.61,6.09,"54,150.56",0.47,0,78.46,18.88,0,0,0,1.93,0,0.26,0
FNPSX,ProFunds Financials UltraSector Fund Service Class,Trading - Leveraged Equity,ProFunds,7600000,16.49,0,1,6/18/2000,Blend,Large,USD,2.66,1.99,23.98,74.76,0,1.26,0,0,14.09,1.59,2.61,6.09,"54,150.56",0.47,0,78.46,18.88,0,0,0,1.93,0,0.26,0
FNRAX,Franklin Natural Resources Fund Advisor Class,Natural Resources,Franklin Templeton Investments,380460000,16.91,2.04,2,12/30/1996,Blend,Large,USD,0.81,1.39,1.19,98.81,0,0,0,0,16.58,1.31,1.02,4.71,"17,603.08",24.13,0.64,0,0,0,0.15,0,0,73.99,1.09,0
FNRCX,Fidelity Advisor Energy Fund Class C,Equity Energy,Fidelity Investments,672470000,15.32,0,3,11/2/1997,Blend,Large,USD,1.84,1.37,0.63,99.37,0,0,0,0,16.56,1.68,0.94,4.29,"22,676.23",0.61,0,0,0.07,0,0,0,0,97.64,1.11,0.57
FNSBX,Fidelity Freedom 2050 Fund Class K,Target-Date 2050,Fidelity Investments,11840000000,11.43,1.48,4,7/19/2017,Blend,Large,USD,0.65,0.45,7.02,85.01,7.1,0.04,0.75,0.07,14.51,1.86,1.31,7.12,"35,212.89",3.96,12.53,20.93,2.33,6.51,12.93,2.1,2.5,6.78,10.16,19.27
FNSDX,Fidelity Freedom 2055 Fund Class K,Target-Date 2055,Fidelity Investments,5160000000,11.5,1.45,4,7/19/2017,Blend,Large,USD,0.65,0.45,7.02,85.06,7.06,0.04,0.75,0.07,14.5,1.86,1.31,7.12,"35,179.54",3.96,12.53,20.93,2.32,6.51,12.94,2.1,2.5,6.79,10.16,19.26
FNSFX,Fidelity Freedom 2060 Fund Class K,Target-Date 2060+,Fidelity Investments,1280000000,11.39,1.41,4,7/19/2017,Blend,Large,USD,0.65,0.39,7.02,85.09,7.04,0.04,0.75,0.06,14.51,1.86,1.31,7.12,"35,180.41",3.96,12.53,20.93,2.33,6.51,12.93,2.1,2.5,6.79,10.16,19.27
FNSHX,Fidelity Freedom Income Fund Class K,Target-Date Retirement,Fidelity Investments,3380000000,4.33,2,3,7/19/2017,Blend,Large,USD,0.42,0.47,22.9,17.09,59.63,0.03,0.22,0.09,14.1,1.76,1.31,6.94,"32,246.65",4.85,12.24,22.32,2.69,6.48,11.09,2.01,2.17,6.75,10.26,19.13
FNSJX,Fidelity Short-Term Bond Idx Investor,Short-Term Bond,Fidelity Investments,124160000,-0.37,1.85,0,10/17/2017,Value,Large,USD,0.13,0.75,,,,,,,,,,,,,,,,,,,,,,
FNSMX,Salient International Small Cap Advisor,Foreign Small/Mid Blend,Salient Funds,125030000,5.08,3.95,4,1/31/2010,Growth,Medium,USD,1.35,1.31,1.23,98.05,0,0.72,0,0,16.56,1.83,1.15,7.6,"2,271.53",4.86,17.86,9.94,5.8,5.82,4.36,0.64,2.8,1.61,27.76,18.55
FNSOX,Fidelity Short-Term Bond Index Fund,Short-Term Bond,Fidelity Investments,281700000,1.66,2.2,0,10/17/2017,Value,Large,USD,0.03,0.75,0.4,0,99.25,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FNTAX,Nuveen Nebraska Municipal Bond Fund Class A,Muni Single State Long,Nuveen,72340000,2.51,2.76,3,2/27/2001,Blend,Medium,USD,0.88,0.94,3.42,0,96.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FNTCX,Nuveen Nebraska Municipal Bond Fund Class C1,Muni Single State Long,Nuveen,72340000,2.4,2.27,2,2/27/2001,Blend,Medium,USD,1.33,0.94,3.42,0,96.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FNTYX,Nuveen Nebraska Municipal Bond Fund Class I,Muni Single State Long,Nuveen,72340000,2.55,2.93,4,2/27/2001,Blend,Medium,USD,0.68,0.94,3.42,0,96.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FNWFX,American Funds New World Fund Class F-3,Diversified Emerging Mkts,American Funds,38350000000,13.85,1.27,5,1/26/2017,Growth,Large,USD,0.63,1.36,8.43,87.43,4.02,0,0,0.12,16.15,2.32,1.77,7.61,"39,247.34",8.35,13.74,16.75,1.25,7.56,9.73,3.06,0.96,6.98,8.55,23.06
FNYAX,Franklin New York Tax Free Income Fund Advisor Class,Muni New York Long,Franklin Templeton Investments,3950000000,2.78,3.34,3,9/30/2001,Blend,Medium,USD,0.53,0.92,0.95,0,99.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FNYCX,Fidelity Advisor New York Municipal Income Fund Class C,Muni New York Long,Fidelity Investments,1680000000,2.86,1.55,1,7/31/2002,Blend,Large,USD,1.53,0.92,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FNYFX,First Investors Tax Exempt New York Fund Class A,Muni New York Long,First Investors,158250000,2.89,3.15,2,6/3/1984,Blend,Large,USD,0.86,0.92,1.22,0,98.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FNYGX,First Investors Tax Exempt New York Fund Class B,Muni New York Long,First Investors,158250000,2.65,2.48,1,1/11/1995,Blend,Large,USD,1.61,0.92,1.22,0,98.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FNYHX,First Investors Tax Exempt New York Fund Advisor Class,Muni New York Long,First Investors,158250000,2.96,3.46,3,4/30/2013,Blend,Large,USD,0.61,0.92,1.22,0,98.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FNYIX,Franklin New York Tax Free Income Fund Class C,Muni New York Long,Franklin Templeton Investments,3950000000,2.62,2.71,1,4/30/1995,Blend,Medium,USD,1.18,0.92,0.95,0,99.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FNYJX,First Investors Tax Exempt New York Fund Institutional Class,Muni New York Long,First Investors,158250000,2.96,3.44,3,4/30/2013,Blend,Large,USD,0.64,0.92,1.22,0,98.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FNYPX,Fidelity Advisor New York Municipal Income Fund Class M,Muni New York Long,Fidelity Investments,1680000000,3.06,2.32,2,7/31/2002,Blend,Large,USD,0.75,0.92,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FNYTX,Franklin New York Tax Free Income Fund Class A1,Muni New York Long,Franklin Templeton Investments,3950000000,2.76,3.26,2,9/12/1982,Blend,Medium,USD,0.63,0.92,0.95,0,99.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FNYZX,Franklin New York Intermediate Tax-Free Income Fund Advisor Class,Muni New York Intermediate,Franklin Templeton Investments,910220000,2.39,2.72,3,11/30/2008,Blend,Large,USD,0.58,0.84,0.93,0,99.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOBAX,Tributary Balanced Fund Institutional Class,Allocation - 50% to 70% Equity,Tributary Funds,71600000,8.93,0.85,4,8/5/1996,Growth,Large,USD,1.04,0.82,3.95,61.8,34.25,0,0,0,17.88,3.27,2.26,11.42,"61,464.78",1.98,12.19,14.3,2.14,6.81,15.21,3.68,6.2,5.41,8.99,23.1
FOBPX,Tributary Balanced Fund Class Institutional Plus,Allocation - 50% to 70% Equity,Tributary Funds,71600000,9.02,1.1,4,10/13/2011,Growth,Large,USD,0.85,0.82,3.95,61.8,34.25,0,0,0,17.88,3.27,2.26,11.42,"61,464.78",1.98,12.19,14.3,2.14,6.81,15.21,3.68,6.2,5.41,8.99,23.1
FOCAX,AIG Focused Growth Fund Class A,Large Growth,AIG,604940000,12.65,0,4,7/27/2005,Growth,Large,USD,1.13,1.06,5.35,94.65,0,0,0,0,26.84,5.31,2.9,19.84,"105,532.37",8.3,31.1,17.93,3.16,0,8.32,0,0,0,5.78,25.41
FOCCX,AIG Focused Growth Fund Class C,Large Growth,AIG,604940000,12.49,0,2,1/22/2012,Growth,Large,USD,1.78,1.06,5.35,94.65,0,0,0,0,26.84,5.31,2.9,19.84,"105,532.37",8.3,31.1,17.93,3.16,0,8.32,0,0,0,5.78,25.41
FOCFX,Fidelity Municipal Income 2021 Fund,Muni National Interm,Fidelity Investments,54170000,1.1,2.04,2,5/18/2011,Value,Medium,USD,0.4,0.75,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOCIX,Fairholme Focused Income Fund,High Yield Bond,Fairholme,190850000,6.71,3.86,3,12/30/2009,,,USD,1.01,1.02,55.62,0,31.55,0,12.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOCKX,Fidelity OTC Portfolio Class K,Large Growth,Fidelity Investments,19020000000,17.33,0,5,5/8/2008,Growth,Large,USD,0.78,1.06,0.1,96.68,0,0.46,2.76,0,21.26,4.31,3.28,13.4,"120,239.33",0.14,16.3,7.37,0.22,5.64,8.59,0,1.16,0.28,1.13,59.17
FOCPX,Fidelity OTC Portfolio,Large Growth,Fidelity Investments,19020000000,17.29,0,5,12/30/1984,Growth,Large,USD,0.88,1.06,0.1,96.68,0,0.46,2.76,0,21.26,4.31,3.28,13.4,"120,239.33",0.14,16.3,7.37,0.22,5.64,8.59,0,1.16,0.28,1.13,59.17
FOCSX,Fidelity Small Cap Growth K6 Fund,Small Growth,Fidelity Investments,775180000,19.41,0,0,5/24/2017,Growth,Medium,USD,0.61,1.2,3.98,95.32,0,0,0.7,0,20.47,3.31,1.54,10.39,"3,825.27",2.33,14.86,6.76,1,6.57,24.3,0.06,1.6,1.03,20.25,21.24
FOCWX,AIG Focused Growth Fund Class W,Large Growth,AIG,604940000,12.71,0,3,1/22/2012,Growth,Large,USD,0.93,1.06,5.35,94.65,0,0,0,0,26.84,5.31,2.9,19.84,"105,532.37",8.3,31.1,17.93,3.16,0,8.32,0,0,0,5.78,25.41
FOFRX,Franklin Oregon Tax Free Income Fund Class R6,Muni Single State Long,Franklin Templeton Investments,1170000000,2.34,3.24,4,7/31/2017,Value,Medium,USD,0.52,0.94,1.64,0,98.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOFZX,Franklin Oregon Tax Free Income Fund Advisor Class,Muni Single State Long,Franklin Templeton Investments,1170000000,2.24,3.22,4,7/14/2009,Value,Medium,USD,0.54,0.94,1.64,0,98.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOGIX,MFAM Mid Cap Growth Fund Institutional Shares,Mid-Cap Growth,Motley Fool,277520000,15.11,0,2,6/16/2014,Growth,Medium,USD,0.95,1.19,0.43,99.57,0,0,0,0,24.69,3.72,1.79,16.1,"7,666.76",0,16.15,5.71,7.45,5.5,20.62,0,3.97,0,10.89,29.7
FOGLX,Fidelity Advisor Freedom 2020 Fund Class Z6,Target-Date 2020,Fidelity Investments,2290000000,8.4,2.12,5,6/5/2017,Blend,Large,USD,0.44,0.46,12.15,50.45,36.86,0.03,0.4,0.09,15.14,1.98,1.49,7.65,"38,402.84",4.44,10.54,22.07,2.67,6.64,11.78,1.97,2.96,6.64,10.25,20.04
FOGPX,Tributary Growth Opportunities Fund Class Institutional Plus,Mid-Cap Growth,Tributary Funds,142530000,18.52,0,3,10/13/2011,Growth,Medium,USD,0.94,1.19,1.85,98.15,0,0,0,0,21.33,3.85,2.26,15.65,"13,685.51",3.06,14.77,5.37,3.32,6.86,15.81,0.51,0,1.19,22.27,26.84
FOGRX,Tributary Growth Opportunities Fund Institutional Class,Mid-Cap Growth,Tributary Funds,142530000,18.46,0,3,3/31/1998,Growth,Medium,USD,1.13,1.19,1.85,98.15,0,0,0,0,21.33,3.85,2.26,15.65,"13,685.51",3.06,14.77,5.37,3.32,6.86,15.81,0.51,0,1.19,22.27,26.84
FOHCX,Nuveen Ohio Municipal Bond Fund Class C2,Muni Ohio,Nuveen,610950000,2.71,2.23,3,8/2/1993,Blend,Medium,USD,1.33,0.82,0.34,0,98.63,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOHFX,Fidelity Ohio Municipal Income Fund,Muni Ohio,Fidelity Investments,633710000,2.64,2.62,3,11/14/1985,Blend,Medium,USD,0.48,0.82,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOHJX,Fidelity Series 100 Index F,Large Blend,Fidelity Investments,3370000000,11.29,2.07,4,12/3/2013,Blend,Large,USD,0,0.94,0.31,99.66,0.03,0,0,0,19.85,2.93,2.48,12.87,"189,696.70",1.47,10.54,17.3,0.37,10.2,15.17,1.59,4.74,6.19,8.79,23.63
FOHTX,Nuveen Ohio Municipal Bond Fund Class A,Muni Ohio,Nuveen,610950000,2.76,2.79,4,6/26/1985,Blend,Medium,USD,0.78,0.82,0.34,0,98.63,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOIIX,MFAM Global Opportunities Fund Institutional Shares,World Large Stock,Motley Fool,443140000,17.72,0,5,6/16/2014,Growth,Large,USD,0.95,1.11,1.58,98.42,0,0,0,0,25.11,3.93,2.6,15.14,"24,258.71",0,19.41,14.1,3.14,5.59,13.28,0,9.21,0,9.29,25.98
FOINX,Tributary Income Fund Institutional Class,Intermediate-Term Bond,Tributary Funds,196420000,3.04,2.8,3,3/8/2001,Blend,Medium,USD,0.78,0.76,2.05,0,97.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOIPX,Tributary Income Fund Class Institutional Plus,Intermediate-Term Bond,Tributary Funds,196420000,3.18,2.98,4,10/27/2011,Blend,Medium,USD,0.6,0.76,2.05,0,97.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOITX,Franklin Ohio Tax-Free Income Fund Class C,Muni Ohio,Franklin Templeton Investments,1480000000,2.38,2.41,3,4/30/1995,Blend,Large,USD,1.19,0.82,0.99,0,99.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOLSX,Fidelity Flex Freedom 2045 Fund,Target-Date 2045,Fidelity Investments,112690,11.69,2.07,0,6/7/2017,Blend,Large,USD,0,0.45,6.92,84.97,7.24,0.04,0.74,0.08,14.51,1.86,1.31,7.12,"35,165.91",3.96,12.44,21.02,2.36,6.52,12.92,2.11,2.52,6.82,10.17,19.17
FOMAX,Fidelity Advisor Municipal Income 2021 Fund Class A,Muni National Interm,Fidelity Investments,54170000,0.94,1.79,2,5/18/2011,Value,Medium,USD,0.65,0.75,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOMCX,Fidelity Advisor Mortgage Securities Fund Class C,Intermediate-Term Bond,Fidelity Investments,1010000000,2.07,1.52,1,8/15/2001,Blend,Large,USD,1.54,0.76,1.77,0,98.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOMIX,Fidelity Advisor Municipal Income 2021 Fund I Class,Muni National Interm,Fidelity Investments,54170000,1.1,2.04,2,5/18/2011,Value,Medium,USD,0.4,0.75,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FONPX,Tributary Nebraska Tax-Free Fund Institutional Plus Class,Muni Single State Interm,Tributary Funds,72910000,2.19,3.31,5,12/30/2015,Value,Medium,USD,0.45,0.88,2.38,0,97.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOOLX,MFAM Global Opportunities Fund Investor Shares,World Large Stock,Motley Fool,443140000,17.67,0,5,6/15/2009,Growth,Large,USD,1.06,1.11,1.58,98.42,0,0,0,0,25.11,3.93,2.6,15.14,"24,258.71",0,19.41,14.1,3.14,5.59,13.28,0,9.21,0,9.29,25.98
FOPAX,Fidelity Advisor International Small Cap Opportunities Fund Class A,Foreign Small/Mid Growth,Fidelity Investments,1270000000,10.69,0.63,4,8/1/2005,Growth,Small,USD,1.39,1.36,7.32,92.18,0,0.5,0,0,17.55,1.8,1.4,14.19,"1,962.26",6.62,17.94,4.73,4.6,8.11,9.46,0.08,0.05,2.17,27.28,18.97
FOPCX,Fidelity Advisor International Small Cap Opportunities Fund Class C,Foreign Small/Mid Growth,Fidelity Investments,1270000000,10.39,0,3,8/1/2005,Growth,Small,USD,2.16,1.36,7.32,92.18,0,0.5,0,0,17.55,1.8,1.4,14.19,"1,962.26",6.62,17.94,4.73,4.6,8.11,9.46,0.08,0.05,2.17,27.28,18.97
FOPIX,Fidelity Advisor International Small Cap Opportunities Fund I Class,Foreign Small/Mid Growth,Fidelity Investments,1270000000,10.73,0.89,4,8/1/2005,Growth,Small,USD,1.13,1.36,7.32,92.18,0,0.5,0,0,17.55,1.8,1.4,14.19,"1,962.26",6.62,17.94,4.73,4.6,8.11,9.46,0.08,0.05,2.17,27.28,18.97
FOPPX,Franklin Growth Opportunities Fund Class R6,Large Growth,Franklin Templeton Investments,3870000000,19.03,0,3,4/30/2013,Growth,Large,USD,0.59,1.06,1.64,98.01,0,0.35,0,0,29.62,5.94,4.11,18.68,"60,663.82",1.24,10.93,17.29,2.23,3.73,14.13,0,4.66,0.87,9.74,35.17
FOPTX,Fidelity Advisor International Small Cap Opportunities Fund Class M,Foreign Small/Mid Growth,Fidelity Investments,1270000000,10.57,0.32,4,8/1/2005,Growth,Small,USD,1.68,1.36,7.32,92.18,0,0.5,0,0,17.55,1.8,1.4,14.19,"1,962.26",6.62,17.94,4.73,4.6,8.11,9.46,0.08,0.05,2.17,27.28,18.97
FORCX,Nuveen Oregon Intermediate Municipal Bond Fund Class I,Muni Single State Interm,Nuveen,225390000,2.55,2.23,4,8/7/1997,Blend,Medium,USD,0.62,0.88,0.58,0,98.37,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORIX,Franklin Oregon Tax Free Income Fund Class C,Muni Single State Long,Franklin Templeton Investments,1170000000,2.05,2.53,2,4/30/1995,Value,Medium,USD,1.19,0.94,1.64,0,98.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSBX,Tributary Small Company Fund Institutional Plus Class,Small Blend,Tributary Funds,816200000,12.87,0.09,4,12/16/2010,Blend,Small,USD,0.99,1.15,4.52,95.48,0,0,0,0,15.92,1.66,1.3,8.88,"2,039.50",3.49,12.15,20.48,7.41,1.41,11.94,3.24,0,4.14,17.82,17.91
FOSCX,Tributary Small Company Fund Institutional Class,Small Blend,Tributary Funds,816200000,12.83,0,4,6/9/1996,Blend,Small,USD,1.22,1.15,4.52,95.48,0,0,0,0,15.92,1.66,1.3,8.88,"2,039.50",3.49,12.15,20.48,7.41,1.41,11.94,3.24,0,4.14,17.82,17.91
FOSFX,Fidelity Overseas Fund,Foreign Large Growth,Fidelity Investments,7250000000,11.18,1.44,3,12/3/1984,Growth,Large,USD,0.97,1.13,2.73,97.27,0,0,0,0,17.14,2.63,1.77,10.41,"20,565.43",5.64,12.17,22.6,0.07,12.95,14.03,0.03,0.48,3.81,13.06,15.17
FOSIX,Tributary Short-Intermediate Bond Fund Institutional Class,Short-Term Bond,Tributary Funds,181860000,1.53,2.05,3,12/13/1992,Value,Medium,USD,0.77,0.75,2.59,0,97.17,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSKX,Fidelity Overseas Fund Class K,Foreign Large Growth,Fidelity Investments,7250000000,11.23,1.56,3,5/8/2008,Growth,Large,USD,0.86,1.13,2.73,97.27,0,0,0,0,17.14,2.63,1.77,10.41,"20,565.43",5.64,12.17,22.6,0.07,12.95,14.03,0.03,0.48,3.81,13.06,15.17
FOSPX,Tributary Short/Intermediate Bond Fund Class Institutional Plus,Short-Term Bond,Tributary Funds,181860000,1.46,2.27,4,10/13/2011,Value,Medium,USD,0.54,0.75,2.59,0,97.17,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOTAX,Nuveen Oregon Intermediate Municipal Bond Fund Class A,Muni Single State Interm,Nuveen,225390000,2.41,2.06,3,1/31/1999,Blend,Medium,USD,0.82,0.88,0.58,0,98.37,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOTKX,Fidelity Freedom 2010 Fund Class K6,Target-Date 2000-2010,Fidelity Investments,5850000000,6.18,2.15,4,6/6/2017,Blend,Large,USD,0.4,0.47,17.13,34.01,48.36,0.03,0.35,0.09,14.24,1.8,1.3,6.97,"33,621.59",4.32,12.4,21.6,2.49,6.5,12.16,2.1,2.38,6.86,10.13,19.06
FOVAX,First Trust/Confluence Small Cap Value Fund Class A,Small Growth,First Trust,26820000,13.22,0,3,2/23/2011,Growth,Small,USD,1.6,1.2,5.41,94.59,0,0,0,0,19.58,2.28,1.49,12.92,"1,282.17",8.86,6.92,12.39,6.45,0,13.13,6.67,0,0,29.3,16.28
FOVCX,First Trust/Confluence Small Cap Value Fund Class C,Small Growth,First Trust,26820000,13.17,0,3,3/1/2011,Growth,Small,USD,2.35,1.2,5.41,94.59,0,0,0,0,19.58,2.28,1.49,12.92,"1,282.17",8.86,6.92,12.39,6.45,0,13.13,6.67,0,0,29.3,16.28
FOVIX,First Trust/Confluence Small Cap Value Fund Class I,Small Growth,First Trust,26820000,13.49,0,3,1/10/2011,Growth,Small,USD,1.35,1.2,5.41,94.59,0,0,0,0,19.58,2.28,1.49,12.92,"1,282.17",8.86,6.92,12.39,6.45,0,13.13,6.67,0,0,29.3,16.28
FPAAX,Fidelity Advisor 529 Plan - Portfolio 2019,Large Blend,Franklin Templeton Investments,199300000,-4.53,1.08,2,8/1/2004,Growth,Large,USD,0.4,0.94,5.07,92.99,0.45,1.46,0,0.04,14.83,1.9,0.93,6.32,"26,566.19",0,0,0,0,0,0,0,0,0,0,0
FPACX,FPA Crescent Fund,Allocation - 50% to 70% Equity,FPA,14750000000,10.8,0.6,3,6/1/1993,Blend,Large,USD,1.1,0.82,25.62,66.56,6.62,0.46,0.63,0,11.62,1.31,1.38,8.07,"41,746.70",8.82,5.29,34.74,0,0,2.04,0.63,6.27,2.43,10.24,29.54
FPADX,Fidelity Emerging Markets Index Fund,Diversified Emerging Mkts,Fidelity Investments,2400000000,9.75,2.01,4,9/7/2011,Blend,Large,USD,0.08,1.36,3.14,96.86,0,0,0,0,11.34,1.42,1.09,4.44,"28,590.77",7.74,11.71,23.7,3.5,6.7,2.71,2.56,4.44,7.64,5.32,24
FPBFX,Fidelity Pacific Basin Fund,Diversified Pacific/Asia,Fidelity Investments,850110000,14.02,0.6,5,9/30/1986,Growth,Large,USD,1.07,1.15,1.57,98.43,0,0,0,0,17.78,2.4,2.14,13.33,"20,224.06",1.32,11.61,19.07,2.64,9.96,10.24,1.32,4.28,2.19,11.04,26.34
FPCAX,Fidelity Advisor 529 Plan - Portfolio 2016,Large Blend,Franklin Templeton Investments,199300000,-4.75,0.42,2,8/1/2004,Growth,Large,USD,1.11,0.94,5.07,92.99,0.45,1.46,0,0.04,14.83,1.9,0.93,6.32,"26,566.19",0,0,0,0,0,0,0,0,0,0,0
FPCCX,Nuveen Pennsylvania Municipal Bond Fund Class C,Muni Pennsylvania,Nuveen,381470000,3.2,2.28,2,2/9/2014,Growth,Medium,USD,1.61,0.95,0.65,0,99.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPCFX,Nuveen Core Plus Bond Fund Class R6,Intermediate-Term Bond,Nuveen,330870000,4.3,2.98,5,1/19/2015,Blend,Medium,USD,0.46,0.76,1.46,0,94.29,0.71,1.31,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPCGX,Fort Pitt Capital Total Return Fund,Large Blend,Fort Pitt Capital Funds,72020000,13.67,0.96,3,12/30/2001,Blend,Large,USD,1.24,0.94,4.58,95.42,0,0,0,0,16.46,2.52,2.09,8.81,"45,645.15",5.26,7.98,16.33,0,6.02,10.19,0,6.93,2.48,16.95,27.87
FPCIX,Strategic Advisers Core Income Fund,Intermediate-Term Bond,Fidelity Investments,40210000000,3.43,2.98,4,9/26/2007,Value,Medium,USD,0.43,0.76,15.06,0.01,79.2,1.02,0.02,0.45,10.8,1.39,0.43,0.21,"4,771.63",8.48,26.74,20.07,36.52,0,0,0.06,0,7.35,0.62,0.17
FPEAX,First Trust Preferred Securities and Income Fund Class A,Preferred Stock,First Trust,243100000,6.26,5.44,4,2/24/2011,Value,Small,USD,1.37,1.22,0.27,0.24,42.26,0,22.76,34.46,49.24,0.78,3.8,7.23,343.79,0,0,0,100,0,0,0,0,0,0,0
FPECX,First Trust Preferred Securities and Income Fund Class C,Preferred Stock,First Trust,243100000,6.1,4.66,3,2/24/2011,Value,Small,USD,2.02,1.22,0.27,0.24,42.26,0,22.76,34.46,49.24,0.78,3.8,7.23,343.79,0,0,0,100,0,0,0,0,0,0,0
