mission,company,location,date,time,rocket,price,successful
Galileo FOC FM8-FM9,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",12/17/2015,11:51:00,Soyuz ST-B/Fregat-MT,22220000,TRUE
TeLEOS-1 & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",12/16/2015,12:30:00,PSLV-CA,21900000,TRUE
Elektro-L n†­2,Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",12/11/2015,13:45:00,Zenit-3 SLBF,22850000,TRUE
LISA Pathfinder,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",12/3/2015,4:04:00,Vega,2180000,TRUE
"Arabsat 6B, GSAT-15",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",11/10/2015,21:34:00,Ariane 5 ECA,22000000,TRUE
"NBN Co 1A, ARSAT-2",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",9/30/2015,20:30:00,Ariane 5 ECA,19340000,TRUE
Astrosat & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",9/28/2015,4:30:00,PSLV-XL,18700000,TRUE
Galileo FOC FM05-FM06,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",9/11/2015,2:08:00,Soyuz ST-B/Fregat-MT,20160000,TRUE
GSAT-6,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",8/27/2015,11:22:00,GSLV Mk II,23060000,TRUE
"Eutelsat 8 West B, Intelsat 34",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",8/20/2015,20:34:00,Ariane 5 ECA,13630000,TRUE
"Star One C4, MSG-4",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",7/15/2015,21:42:00,Ariane 5 ECA,9100000,TRUE
UK-DMC3A/B/C & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",7/10/2015,16:28:00,PSLV-XL,22600000,TRUE
CRS-7,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",6/28/2015,14:21:00,Falcon 9 v1.1,7890000,FALSE
Sentinel-2A,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",6/23/2015,1:51:00,Vega,5880000,TRUE
"DirecTV-15, Sky Mexico 1",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",5/27/2015,21:16:00,Ariane 5 ECA,18120000,TRUE
Turkmen??lem52E/MonacoSat,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",4/27/2015,23:03:00,Falcon 9 v1.1,5080000,TRUE
"Thor 7, SICRAL-2",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",4/26/2015,20:00:00,Ariane 5 ECA,19620000,TRUE
CRS-6,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",4/15/2015,20:10:00,Falcon 9 v1.1,20610000,TRUE
IRNSS-1D,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",3/28/2015,11:49:00,PSLV-XL,12340000,TRUE
Galileo FOC FM03-FM04,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",3/27/2015,21:46:00,Soyuz ST-B/Fregat-MT,22860000,TRUE
ABS-3A & EUTELSAT 115 West B,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",3/2/2015,3:50:00,Falcon 9 v1.1,16790000,TRUE
DSCOVR,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2/11/2015,23:03:00,Falcon 9 v1.1,7310000,TRUE
IXV,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2/11/2015,13:40:00,Vega,22140000,TRUE
CRS-5,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",1/10/2015,9:47:00,Falcon 9 v1.1,9230000,TRUE
O3b FM09-FM12,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",12/18/2014,18:37:00,Soyuz ST-B/Fregat-MT,7570000,TRUE
Demo Flight (CARE),ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",12/18/2014,4:00:00,GSLV Mk III,22510000,TRUE
"DirecTV-14, GSAT-16",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",12/6/2014,20:40:00,Ariane 5 ECA,9530000,TRUE
CRS Orb-3,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",10/28/2014,22:22:00,Antares 130,17800000,FALSE
"Intelsat 30, ARSAT-1",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",10/16/2014,21:43:00,Ariane 5 ECA,17310000,TRUE
IRNSS-1C,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",10/16/2014,20:02:00,PSLV-XL,8690000,TRUE
CRS-4,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",9/21/2014,5:52:00,Falcon 9 v1.1,16620000,TRUE
"MEASAT 3b, Optus 10",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",9/11/2014,22:05:00,Ariane 5 ECA,1370000,TRUE
AsiaSat 6,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",9/7/2014,5:00:00,Falcon 9 v1.1,13010000,TRUE
Galileo FOC FM01-FM02,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",8/22/2014,12:27:00,Soyuz ST-B/Fregat-MT,12080000,FALSE
AsiaSat 8,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",8/5/2014,8:00:00,Falcon 9 v1.1,18770000,TRUE
Georges Lema??tre ATV,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",7/29/2014,23:47:00,Ariane 5 ES,6540000,TRUE
OG2 Mission 1,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",7/14/2014,15:15:00,Falcon 9 v1.1,21620000,TRUE
CRS Orb-2,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",7/13/2014,16:52:00,Antares 120,3500000,TRUE
O3b FM03/FM06-FM08,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",7/10/2014,18:55:00,Soyuz ST-B/Fregat-MT,12510000,TRUE
SPOT-7 & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",6/30/2014,4:22:00,PSLV-CA,16620000,TRUE
KazEOSat-1,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",4/30/2014,1:35:00,Vega,2460000,TRUE
CRS-3,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",4/18/2014,19:25:00,Falcon 9 v1.1,3260000,TRUE
IRNSS-1B,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",4/4/2014,11:44:00,PSLV-XL,2470000,TRUE
Sentinel 1A,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",4/3/2014,21:02:00,Soyuz ST-A/Fregat-M,9110000,TRUE
"Astra 5B, Amazonas 4A",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",3/22/2014,22:04:00,Ariane 5 ECA,10900000,TRUE
"ABS-2, Athena-Fidus",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2/6/2014,21:30:00,Ariane 5 ECA,3860000,TRUE
CRS Orb-1,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",1/9/2014,18:07:00,Antares 120,19800000,TRUE
Thaicom 6,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",1/6/2014,22:06:00,Falcon 9 v1.1,23810000,TRUE
GSAT-14,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",1/5/2014,10:48:00,GSLV Mk II,9840000,TRUE
Gaia,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",12/19/2013,9:12:00,Soyuz ST-B/Fregat-MT,22770000,TRUE
SES-8,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",12/3/2013,22:41:00,Falcon 9 v1.1,10400000,TRUE
ORS-3,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",11/20/2013,1:15:00,Minotaur I,19660000,TRUE
Mars Orbiter Mission,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",11/5/2013,9:08:00,PSLV-XL,8660000,TRUE
CASSIOPE,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",9/29/2013,16:00:00,Falcon 9 v1.1,21380000,TRUE
CRS Orb-D1,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",9/13/2013,14:58:00,Antares 110,15020000,TRUE
LADEE,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",9/7/2013,3:27:00,Minotaur V,6530000,TRUE
"Eutelsat 25B/Es'hail 1, GSAT-7",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",8/29/2013,20:30:00,Ariane 5 ECA,17660000,TRUE
"Alphasat I-XL, INSAT-3D",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",7/25/2013,19:54:00,Ariane 5 ECA,23340000,TRUE
IRNSS-1A,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",7/1/2013,18:11:00,PSLV-XL,11650000,TRUE
IRIS,Northrop,"Stargazer, Vandenberg AFB, California, USA",6/28/2013,2:27:00,Pegasus XL,10990000,TRUE
O3b FM01-FM02/FM04-FM05,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",6/25/2013,19:27:00,Soyuz ST-B/Fregat-MT,18760000,TRUE
Albert Einstein ATV,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",6/5/2013,21:52:00,Ariane 5 ES,10110000,TRUE
"Proba-V, VNREDSat-1A & ESTCube-1",Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",5/7/2013,2:06:00,Vega,21270000,TRUE
Antares A-ONE,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",4/21/2013,21:00:00,Antares 110,16720000,TRUE
CRS-2,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",3/1/2013,15:10:00,Falcon 9 v1.0,2530000,TRUE
SARAL & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2/25/2013,12:31:00,PSLV-CA,14540000,TRUE
"Amazonas-3, Azerspace-1 (Africasat-1A)",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2/7/2013,21:36:00,Ariane 5 ECA,12760000,TRUE
"Skynet 5D, Mexsat-3",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",12/19/2012,21:49:00,Ariane 5 ECA,4420000,TRUE
Pl??iades 1B,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",12/2/2012,2:02:00,Soyuz ST-A/Fregat,4040000,TRUE
"Eutelsat 21B, Star One C3",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",11/10/2012,21:05:00,Ariane 5 ECA,22350000,TRUE
Galileo IOV FM03-FM04,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",10/12/2012,15:15:00,Soyuz ST-B/Fregat-MT,6480000,TRUE
CRS-1,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",10/8/2012,0:35:00,Falcon 9 v1.0,21520000,FALSE
"Astra 2F, GSAT-10",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",9/28/2012,21:18:00,Ariane 5 ECA,5690000,TRUE
SPOT-6 & mRESINS & PROITERES,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",9/9/2012,4:23:00,PSLV-CA,18620000,TRUE
"Intelsat 20, HYLAS 2",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",8/2/2012,20:54:00,Ariane 5 ECA,5860000,TRUE
"EchoStar XVII, MSG-3",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",7/5/2012,21:36:00,Ariane 5 ECA,13520000,TRUE
NuSTAR,Northrop,"Stargazer, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",6/13/2012,16:00:00,Pegasus XL,18080000,TRUE
COTS-2+,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",5/22/2012,7:44:00,Falcon 9 v1.0,1050000,TRUE
"JCSAT-13, Vinasat-2",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",5/15/2012,22:13:00,Ariane 5 ECA,18690000,TRUE
PSLV- C19 RISAT-1,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",4/26/2012,22:00:00,PSLV-XL,22850000,TRUE
RISAT-1,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",4/26/2012,0:17:00,PSLV-XL,1930000,TRUE
Edoardo Amaldi ATV,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",3/23/2012,4:34:00,Ariane 5 ES,23750000,TRUE
"Lares, AlmaSat-1 & 7 cubesats",ESA,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2/13/2012,10:00:00,Vega,16070000,TRUE
"Pl??iades 1A, SSOT, Elisa",Arianespace,"ELS, Guiana Space Centre, French Guiana, France",12/17/2011,2:03:00,Soyuz ST-A/Fregat,7330000,TRUE
Fobos-Grunt & Yinghuo 1,Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",11/8/2011,20:16:00,Zenit-2 FG,24390000,TRUE
Galileo IOV FM01-FM02,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",10/21/2011,7:30:00,Soyuz ST-B/Fregat-MT,3910000,TRUE
Megha-Tropiques & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",10/12/2011,5:31:00,PSLV-CA,18130000,TRUE
TacSat-4,Northrop,"LP-1, Pacific Spaceport Complex, Alaska, USA",9/27/2011,15:49:00,Minotaur IV,14510000,TRUE
"Arabsat-5C, SES-2",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",9/21/2011,21:38:00,Ariane 5 ECA,6480000,TRUE
"Astra 1N, BSAT-3C (JCSAT-110R)",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",8/6/2011,22:52:00,Ariane 5 ECA,9930000,TRUE
Spektr-R,Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",7/18/2011,2:31:00,Zenit-3 SLBF,20600000,TRUE
GSAT-12,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",7/15/2011,11:18:00,PSLV-XL,10080000,TRUE
STS-135,NASA,"LC-39A, Kennedy Space Center, Florida, USA",7/8/2011,15:29:00,Space Shuttle Atlantis,3880000,TRUE
ORS-1,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",6/30/2011,3:09:00,Minotaur I,5250000,TRUE
"ST-2, GSAT-8",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",5/20/2011,20:38:00,Ariane 5 ECA,23030000,TRUE
STS-134,NASA,"LC-39A, Kennedy Space Center, Florida, USA",5/16/2011,12:56:00,Space Shuttle Endeavour,3090000,TRUE
"Yahsat 1A, Intelsat 28 (New Dawn)",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",4/22/2011,21:37:00,Ariane 5 ECA,17580000,TRUE
ResourceSat-2 & X-Sat & YouthSat,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",4/20/2011,4:42:00,PSLV-G,12370000,TRUE
"Glory, KySat-1, Hermes, and Explorer-1 [PRIME]",Northrop,"SLC-576E, Vandenberg AFB, California, USA",3/4/2011,10:09:00,Minotaur C (Taurus),23110000,FALSE
STS-133,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2/24/2011,21:53:00,Space Shuttle Discovery,5920000,TRUE
Johannes Kepler ATV,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2/15/2011,22:13:00,Ariane 5 ES,5770000,TRUE
NROL-66,Northrop,"SLC-8, Vandenberg AFB, California, USA",2/6/2011,12:26:00,Minotaur I,18260000,TRUE
Elektro-L n†­1,Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",1/20/2011,12:29:00,Zenit-3 SLBF,1430000,TRUE
"Koreasat 6, Hispasat-1E",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",12/29/2010,21:27:00,Ariane 5 ECA,2770000,TRUE
GSAT-5P,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",12/25/2010,10:34:00,GSLV Mk I,17850000,FALSE
COTS-1,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",12/8/2010,15:43:00,Falcon 9 v1.0,8190000,TRUE
"Intelsat 17, HYLAS-1",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",11/26/2010,18:39:00,Ariane 5 ECA,5500000,TRUE
STP-S26,Northrop,"LP-1, Pacific Spaceport Complex, Alaska, USA",11/20/2010,1:25:00,Minotaur IV,10140000,TRUE
"Eutelsat W3B, BSAT-3B",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",10/28/2010,23:51:00,Ariane 5 ECA,2180000,TRUE
SBSS,Northrop,"SLC-8, Vandenberg AFB, California, USA",9/26/2010,4:41:00,Minotaur IV,5900000,TRUE
"Nilesat-201, Rascom-QAF 1R",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",8/4/2010,20:45:00,Ariane 5 ECA,22850000,TRUE
Cartosat-2B & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",7/12/2010,3:52:00,PSLV-CA,10090000,TRUE
"Arabsat-5A, COMS-1",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",6/26/2010,21:41:00,Ariane 5 ECA,13080000,TRUE
Flight 1,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",6/4/2010,18:45:00,Falcon 9 v1.0,7060000,TRUE
Astra 3B  & COMSATBw-2,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",5/21/2010,22:01:00,Ariane 5 ECA,6200000,TRUE
STS-132,NASA,"LC-39A, Kennedy Space Center, Florida, USA",5/14/2010,18:20:00,Space Shuttle Atlantis,4170000,TRUE
Progress M-05M,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",4/28/2010,17:15:00,Soyuz U,2530000,TRUE
GSAT-4,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",4/15/2010,10:57:00,GSLV Mk II,10110000,FALSE
STS-131,NASA,"LC-39A, Kennedy Space Center, Florida, USA",4/5/2010,10:21:00,Space Shuttle Discovery,9320000,TRUE
Soyuz TMA-18,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",4/2/2010,4:04:00,Soyuz FG,9770000,TRUE
STS-130,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2/8/2010,9:14:00,Space Shuttle Endeavour,5960000,TRUE
Soyuz-U,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2/3/2010,3:45:00,Soyuz U,6660000,TRUE
Helios 2B,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",12/18/2009,16:26:00,Ariane 5 GS,1060000,TRUE
STS-129,NASA,"LC-39A, Kennedy Space Center, Florida, USA",11/16/2009,19:28:00,Space Shuttle Atlantis,7930000,TRUE
NSS-12 & Thor-6,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",10/29/2009,20:00:00,Ariane 5 ECA,12500000,TRUE
Ares 1-X Test Flight,NASA,"LC-39B, Kennedy Space Center, Florida, USA",10/28/2009,15:30:00,Ares 1-X,17790000,TRUE
Amazonas 2 & COMSATBw-1,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",10/1/2009,21:59:00,Ariane 5 ECA,24990000,TRUE
Oceansat-2 & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",9/23/2009,6:21:00,PSLV-CA,21280000,TRUE
STS-128,NASA,"LC-39A, Kennedy Space Center, Florida, USA",8/28/2009,3:59:00,Space Shuttle Discovery,21820000,TRUE
JCSAT-12 & Optus D3,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",8/21/2009,22:09:00,Ariane 5 ECA,20630000,TRUE
STS-127,NASA,"LC-39A, Kennedy Space Center, Florida, USA",7/15/2009,22:03:00,Space Shuttle Endeavour,4270000,TRUE
RazakSat,SpaceX,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",7/14/2009,3:35:00,Falcon 1,24630000,TRUE
TerreStar-1,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",7/1/2009,19:52:00,Ariane 5 ECA,14470000,TRUE
TacSat-3 / PharmaSat / AeroCube 3 / HawkSat I / CP6,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",5/19/2009,23:55:00,Minotaur I,2510000,TRUE
Herschel Space Observatory & Planck,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",5/14/2009,13:12:00,Ariane 5 ECA,22370000,TRUE
STS-125,NASA,"LC-39A, Kennedy Space Center, Florida, USA",5/11/2009,18:01:00,Space Shuttle Atlantis,15590000,TRUE
RISAT-2 & ANUSAT,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",4/20/2009,1:15:00,PSLV-CA,23120000,TRUE
STS-119,NASA,"LC-39A, Kennedy Space Center, Florida, USA",3/15/2009,23:43:00,Space Shuttle Discovery,7340000,TRUE
Orbiting Carbon Observatory,Northrop,"SLC-576E, Vandenberg AFB, California, USA",2/24/2009,9:55:00,Minotaur C (Taurus),3390000,FALSE
"Hot Bird 10, NSS-9, Spirale-A & B",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2/12/2009,22:09:00,Ariane 5 ECA,14340000,TRUE
Hot Bird 9 & Eutelsat W2M,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",12/20/2008,22:35:00,Ariane 5 ECA,11890000,TRUE
STS-126,NASA,"LC-39A, Kennedy Space Center, Florida, USA",11/15/2008,0:55:00,Space Shuttle Endeavour,23370000,TRUE
Chandrayaan-1,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",10/22/2008,0:52:00,PSLV-XL,3110000,TRUE
IBEX,Northrop,"Stargazer, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",10/19/2008,17:47:00,Pegasus XL,13130000,TRUE
RatSat,SpaceX,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",9/28/2008,23:15:00,Falcon 1,4740000,TRUE
Superbird-7 & AMC-21,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",8/14/2008,20:44:00,Ariane 5 ECA,14950000,TRUE
Flight 3,SpaceX,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",8/3/2008,3:34:00,Falcon 1,22950000,FALSE
ProtoStar-1 & Badr-6,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",7/7/2008,21:47:00,Ariane 5 ECA,1990000,TRUE
Skynet 5C & Turksat 3A,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",6/12/2008,22:05:00,Ariane 5 ECA,24540000,TRUE
STS-124,NASA,"LC-39A, Kennedy Space Center, Florida, USA",5/31/2008,21:02:00,Space Shuttle Discovery,19420000,TRUE
Cartosat-2A & Rideshares,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",4/28/2008,3:53:00,PSLV-CA,1640000,TRUE
Star One C2 & Vinasat-1,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",4/18/2008,22:17:00,Ariane 5 ECA,23570000,TRUE
C/NOFS,Northrop,"Stargazer, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",4/15/2008,17:01:00,Pegasus XL,9590000,TRUE
STS-123,NASA,"LC-39A, Kennedy Space Center, Florida, USA",3/11/2008,6:28:00,Space Shuttle Endeavour,6380000,TRUE
Jules Verne ATV,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",3/9/2008,4:03:00,Ariane 5 ES,4240000,TRUE
STS-122,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2/7/2008,19:45:00,Space Shuttle Atlantis,6840000,TRUE
TecSAR,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",1/21/2008,3:45:00,PSLV-CA,8700000,TRUE
Rascom-QAF1 & Horizons-2,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",12/21/2007,21:41:00,Ariane 5 GS,13940000,TRUE
Skynet 5B & Star One C1,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",11/14/2007,22:03:00,Ariane 5 ECA,4050000,TRUE
STS-120,NASA,"LC-39A, Kennedy Space Center, Florida, USA",10/23/2007,3:38:00,Space Shuttle Discovery,14150000,TRUE
Intelsat 11 & Optus D2,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",10/5/2007,22:02:00,Ariane 5 GS,7260000,TRUE
INSAT-4CR,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",9/2/2007,12:51:00,GSLV Mk I,3550000,FALSE
Spaceway-3 & BSat-3A,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",8/14/2007,23:44:00,Ariane 5 ECA,18140000,TRUE
STS-118,NASA,"LC-39A, Kennedy Space Center, Florida, USA",8/8/2007,22:36:00,Space Shuttle Endeavour,22350000,TRUE
STS-117,NASA,"LC-39A, Kennedy Space Center, Florida, USA",6/8/2007,23:38:00,Space Shuttle Atlantis,13230000,TRUE
Astra 1L & Galaxy 17,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",5/4/2007,22:29:00,Ariane 5 ECA,12010000,TRUE
AIM,Northrop,"Stargazer, Vandenberg AFB, California, USA",4/25/2007,20:26:00,Pegasus XL,18070000,TRUE
NFIRE,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",4/24/2007,6:48:00,Minotaur I,2130000,TRUE
AGILE & AAM,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",4/23/2007,10:00:00,PSLV-CA,18470000,TRUE
DemoSat,SpaceX,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",3/21/2007,1:10:00,Falcon 1,3880000,FALSE
Skynet 5A & INSAT-4B,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",3/11/2007,22:03:00,Ariane 5 ECA,23830000,TRUE
Cartosat-2 & SRE-1 & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",1/10/2007,3:54:00,PSLV-G,17530000,TRUE
TacSat-2 & GeneSat-1,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",12/16/2006,12:00:00,Minotaur I,11960000,TRUE
STS-116,NASA,"LC-39B, Kennedy Space Center, Florida, USA",12/10/2006,0:47:00,Space Shuttle Discovery,12050000,TRUE
WildBlue-1 & AMC-18,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",12/8/2006,22:08:00,Ariane 5 ECA,1030000,TRUE
"DirecTV-9S, Optus D1, LDREX-2",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",10/13/2006,20:56:00,Ariane 5 ECA,2000000,TRUE
STS-115,NASA,"LC-39B, Kennedy Space Center, Florida, USA",9/9/2006,15:14:00,Space Shuttle Atlantis,18020000,TRUE
JCSAT-10 & Syracuse 3B,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",8/11/2006,22:15:00,Ariane 5 ECA,1440000,TRUE
INSAT-4C,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",7/10/2006,12:08:00,GSLV Mk I,22770000,FALSE
STS-121,NASA,"LC-39B, Kennedy Space Center, Florida, USA",7/4/2006,18:37:00,Space Shuttle Discovery,12690000,TRUE
Satmex-6 & Thaicom-5,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",5/27/2006,21:09:00,Ariane 5 ECA,3810000,TRUE
Astra 1KR,ILS,"SLC-41, Cape Canaveral AFS, Florida, USA",4/20/2006,20:27:00,Atlas V 411,18420000,TRUE
COSMIC (FORMOSAT-3),Northrop,"SLC-8, Vandenberg AFB, California, USA",4/15/2006,1:40:00,Minotaur I,15810000,TRUE
ST-5,Northrop,"Stargazer, Vandenberg AFB, California, USA",3/28/2006,20:10:00,Pegasus XL,11020000,TRUE
